t_rel_s,ts_ns,value
57.948,1779427933780568319,0.002218306064605713
58.019,1779427933851220197,0.0023975728545337915
58.080,1779427933912523983,0.0023963842540979385
58.147,1779427933979355950,0.0026359634939581156
58.211,1779427934043469326,0.0026473994366824627
58.274,1779427934106117970,0.003759724786505103
58.352,1779427934184080092,0.003654214320704341
58.410,1779427934242031210,0.003301497083157301
58.480,1779427934312129221,0.002961979014798999
58.543,1779427934375292358,0.002961979014798999
58.605,1779427934437688714,0.002961979014798999
58.680,1779427934511942340,0.002961979014798999
58.749,1779427934581410066,0.002591380150988698
58.816,1779427934648041369,0.002591380150988698
58.876,1779427934708240919,0.002697223564609885
58.947,1779427934779689912,0.002864663489162922
59.009,1779427934841466692,0.0025254359934479
59.075,1779427934906781428,0.0025254359934479
59.148,1779427934980166481,0.0025254359934479
59.211,1779427935043282078,0.0025254359934479
59.277,1779427935109501553,0.0025254359934479
59.346,1779427935178711157,0.0022847915533930063
59.407,1779427935239585907,0.0022847915533930063
59.477,1779427935309733500,0.0022847915533930063
59.546,1779427935377767994,0.002262684516608715
59.610,1779427935442545445,0.002262684516608715
59.678,1779427935509848448,0.002262684516608715
59.743,1779427935575173976,0.002262684516608715
59.804,1779427935636431095,0.002262684516608715
59.871,1779427935703366895,0.002262684516608715
59.933,1779427935765610127,0.002262684516608715
60.010,1779427935842155933,0.002262684516608715
60.077,1779427935909676225,0.002262684516608715
60.143,1779427935974963836,0.002262684516608715
60.204,1779427936036065208,0.002262684516608715
60.273,1779427936105433186,0.002262684516608715
60.337,1779427936169277940,0.002262684516608715
60.414,1779427936245995535,0.002262684516608715
60.474,1779427936306676328,0.002262684516608715
60.541,1779427936372818221,0.002262684516608715
60.606,1779427936437809503,0.002262684516608715
60.671,1779427936503480359,0.002262684516608715
60.740,1779427936572328010,0.002262684516608715
60.807,1779427936638827482,0.002262684516608715
60.870,1779427936702479447,0.002262684516608715
60.941,1779427936773086409,0.002262684516608715
61.005,1779427936837594988,0.002262684516608715
61.077,1779427936909057982,0.002262684516608715
61.144,1779427936976503900,0.002262684516608715
